2019-03-15 12:10:10,035 | com.altius.automation.Auctionedit |INFO | Valid UN is passed to the UN field
2019-03-15 12:10:10,491 | com.altius.automation.Auctionedit |INFO | Valid password data is passed to the PW field
2019-03-15 12:10:33,387 | com.altius.automation.Auctionedit |INFO | User able to login with Correct UN  &PW
2019-03-15 12:10:34,249 | com.altius.automation.Auctionedit |INFO | Mouse is successfully hovered on module 'Group and confidential report'
2019-03-15 12:10:36,483 | com.altius.automation.Auctionedit |INFO | Mouse is successfully hovered on for transfer
2019-03-15 12:10:44,795 | com.altius.automation.Auctionedit |INFO | Mouse is successfully clicked on approval screen
2019-03-15 12:10:51,123 | com.altius.automation.Auctionedit |INFO | Chit group is successfully selected
2019-03-15 12:10:55,312 | com.altius.automation.Auctionedit |INFO | Branch name is successfully selected
2019-03-15 12:11:24,174 | com.altius.automation.Auctionedit |INFO | Old Member name is successfully selected
2019-03-15 12:11:27,983 | com.altius.automation.Auctionedit |INFO | New  Member name is successfully selected
2019-03-15 12:11:28,376 | com.altius.automation.Auctionedit |INFO | Kasar amount is  successfully entered
2019-03-15 12:11:28,849 | com.altius.automation.Auctionedit |INFO | Transfer amount is  successfully entered
2019-03-15 12:11:29,206 | com.altius.automation.Auctionedit |INFO | Income  is  successfully entered
2019-03-15 12:11:29,574 | com.altius.automation.Auctionedit |INFO | Commission  is  successfully entered
2019-03-15 12:11:29,825 | com.altius.automation.Auctionedit |INFO | Estimated call number  is  successfully entered
2019-03-15 12:11:30,382 | com.altius.automation.Auctionedit |INFO | Transfer date  is  successfully entered
2019-03-15 12:11:31,174 | com.altius.automation.Auctionedit |INFO | Reason for trnsfer  is  successfully entered
2019-03-15 12:11:32,165 | com.altius.automation.Auctionedit |INFO | Surety details is entered successfully
2019-03-15 12:11:36,066 | com.altius.automation.Auctionedit |INFO | Money collector is successfully selected
2019-03-15 12:11:37,151 | com.altius.automation.Auctionedit |INFO | Profession bussiness is successfully entered
2019-03-15 12:11:43,082 | com.altius.automation.Auctionedit |INFO | Tansfer is successfully entered
2019-03-15 12:11:48,316 | com.altius.automation.Auctionedit |INFO | Ok button is clicked successfully
2019-03-15 12:11:50,465 | com.altius.automation.Auctionedit |INFO | Member is not trnsfered
2019-03-15 12:30:48,876 | com.altius.automation.Auctionedit |INFO | Central office option is selected successfully
2019-03-15 12:30:54,933 | com.altius.automation.Auctionedit |INFO | Valid UN is passed to the UN field
2019-03-15 12:30:57,951 | com.altius.automation.Auctionedit |INFO | Valid password data is passed to the PW field
2019-03-15 12:31:21,496 | com.altius.automation.Auctionedit |INFO | User able to login with Correct UN  &PW
2019-03-15 12:31:22,011 | com.altius.automation.Auctionedit |INFO | Mouse is successfully hovered on module 'Group and confidential report'
2019-03-15 12:31:24,260 | com.altius.automation.Auctionedit |INFO | Mouse is successfully hovered on for transfer
2019-03-15 12:31:34,305 | com.altius.automation.Auctionedit |INFO | Mouse is successfully clicked on approval screen
2019-03-15 12:31:43,921 | com.altius.automation.Auctionedit |INFO | Chit group is successfully selected
2019-03-15 12:31:50,545 | com.altius.automation.Auctionedit |ERROR | Branch is not successfully selected
2019-03-15 12:32:17,675 | com.altius.automation.Auctionedit |ERROR | Old Member name is not successfully selected
2019-03-15 12:32:19,985 | com.altius.automation.Auctionedit |ERROR | New Member name is not successfully selected
2019-03-15 12:32:22,113 | com.altius.automation.Auctionedit |ERROR | Kasar amount is not successfully entered
2019-03-15 12:32:24,194 | com.altius.automation.Auctionedit |ERROR | Transfer amount is not successfully entered
2019-03-15 12:32:26,294 | com.altius.automation.Auctionedit |ERROR | Income is not successfully entered
2019-03-15 12:32:28,485 | com.altius.automation.Auctionedit |ERROR | Commision is not successfully entered
2019-03-15 12:32:30,608 | com.altius.automation.Auctionedit |ERROR | Estimated call number is not successfully entered
2019-03-15 12:32:32,826 | com.altius.automation.Auctionedit |ERROR | Transfer date is not successfully entered
2019-03-15 12:32:35,256 | com.altius.automation.Auctionedit |ERROR | Reason for transfer is not successfully entered
2019-03-15 12:32:37,373 | com.altius.automation.Auctionedit |ERROR | Surety detaisl is not entered
2019-03-15 12:32:39,426 | com.altius.automation.Auctionedit |ERROR | Money collector is not  selected
2019-03-15 12:32:41,692 | com.altius.automation.Auctionedit |ERROR | Profession bussiness is not entered
2019-03-15 12:32:43,979 | com.altius.automation.Auctionedit |ERROR | Tansfer is not clicked
2019-03-15 12:32:46,334 | com.altius.automation.Auctionedit |ERROR | Ok button is not clicked
2019-03-15 12:32:50,619 | com.altius.automation.Auctionedit |ERROR | Member is not transfered
2019-03-15 12:34:04,036 | com.altius.automation.Auctionedit |INFO | Central office option is selected successfully
2019-03-15 14:28:38,709 | com.altius.automation.Auctionedit |INFO | Central office option is selected successfully
2019-03-15 14:28:39,630 | com.altius.automation.Auctionedit |INFO | Valid UN is passed to the UN field
2019-03-15 14:28:39,872 | com.altius.automation.Auctionedit |INFO | Valid password data is passed to the PW field
2019-03-15 14:29:04,307 | com.altius.automation.Auctionedit |INFO | User able to login with Correct UN  &PW
2019-03-15 14:29:04,611 | com.altius.automation.Auctionedit |INFO | Mouse is successfully hovered on module 'Group and confidential report'
2019-03-15 14:29:06,938 | com.altius.automation.Auctionedit |INFO | Mouse is successfully hovered on for transfer
2019-03-15 14:29:17,454 | com.altius.automation.Auctionedit |INFO | Mouse is successfully clicked on approval screen
2019-03-15 14:29:23,828 | com.altius.automation.Auctionedit |INFO | Chit group is successfully selected
2019-03-15 14:29:28,033 | com.altius.automation.Auctionedit |INFO | Branch name is successfully selected
2019-03-15 14:29:56,987 | com.altius.automation.Auctionedit |INFO | Old Member name is successfully selected
2019-03-15 14:30:00,619 | com.altius.automation.Auctionedit |INFO | New  Member name is successfully selected
2019-03-15 14:30:00,916 | com.altius.automation.Auctionedit |INFO | Kasar amount is  successfully entered
2019-03-15 14:30:01,257 | com.altius.automation.Auctionedit |INFO | Transfer amount is  successfully entered
2019-03-15 14:30:01,587 | com.altius.automation.Auctionedit |INFO | Income  is  successfully entered
2019-03-15 14:30:01,935 | com.altius.automation.Auctionedit |INFO | Commission  is  successfully entered
2019-03-15 14:30:02,167 | com.altius.automation.Auctionedit |INFO | Estimated call number  is  successfully entered
2019-03-15 14:30:02,599 | com.altius.automation.Auctionedit |INFO | Transfer date  is  successfully entered
2019-03-15 14:30:03,276 | com.altius.automation.Auctionedit |INFO | Reason for trnsfer  is  successfully entered
2019-03-15 14:30:04,168 | com.altius.automation.Auctionedit |INFO | Surety details is entered successfully
2019-03-15 14:30:07,849 | com.altius.automation.Auctionedit |INFO | Money collector is successfully selected
2019-03-15 14:30:08,632 | com.altius.automation.Auctionedit |INFO | Profession bussiness is successfully entered
2019-03-15 14:30:14,515 | com.altius.automation.Auctionedit |INFO | Tansfer button is successfully clicked
2019-03-15 14:30:19,647 | com.altius.automation.Auctionedit |INFO | Ok button is clicked successfully
2019-03-15 14:30:21,737 | com.altius.automation.Auctionedit |ERROR | Member is not transfered
2019-03-15 14:44:41,562 | com.altius.automation.Auctionedit |INFO | Central office option is selected successfully
2019-03-15 14:44:42,552 | com.altius.automation.Auctionedit |INFO | Valid UN is passed to the UN field
2019-03-15 14:44:45,112 | com.altius.automation.Auctionedit |INFO | Valid password data is passed to the PW field
2019-03-15 14:45:05,785 | com.altius.automation.Auctionedit |INFO | User able to login with Correct UN  &PW
2019-03-15 14:45:06,044 | com.altius.automation.Auctionedit |INFO | Mouse is successfully hovered on module 'Group and confidential report'
2019-03-15 14:45:08,196 | com.altius.automation.Auctionedit |INFO | Mouse is successfully hovered on for transfer screen
2019-03-15 14:45:10,749 | com.altius.automation.Auctionedit |ERROR | org.openqa.selenium.ElementNotVisibleException: element not interactable
  (Session info: chrome=72.0.3626.121)
  (Driver info: chromedriver=2.45.615291 (ec3682e3c9061c10f26ea9e5cdcf3c53f3f74387),platform=Windows NT 6.1.7601 SP1 x86_64) (WARNING: The server did not provide any stacktrace information)
Command duration or timeout: 0 milliseconds
Build info: version: '3.14.0', revision: 'aacccce0', time: '2018-08-02T20:13:22.693Z'
System info: host: 'ATW-7005', ip: '192.168.1.247', os.name: 'Windows 7', os.arch: 'amd64', os.version: '6.1', java.version: '1.8.0_191'
Driver info: org.openqa.selenium.chrome.ChromeDriver
Capabilities {acceptInsecureCerts: false, acceptSslCerts: false, applicationCacheEnabled: false, browserConnectionEnabled: false, browserName: chrome, chrome: {chromedriverVersion: 2.45.615291 (ec3682e3c9061c..., userDataDir: C:\Users\altius\AppData\Loc...}, cssSelectorsEnabled: true, databaseEnabled: false, goog:chromeOptions: {debuggerAddress: localhost:54818}, handlesAlerts: true, hasTouchScreen: false, javascriptEnabled: true, locationContextEnabled: true, mobileEmulationEnabled: false, nativeEvents: true, networkConnectionEnabled: false, pageLoadStrategy: normal, platform: XP, platformName: XP, proxy: Proxy(), rotatable: false, setWindowRect: true, strictFileInteractability: false, takesHeapSnapshot: true, takesScreenshot: true, timeouts: {implicit: 0, pageLoad: 300000, script: 30000}, unexpectedAlertBehaviour: ignore, unhandledPromptBehavior: ignore, version: 72.0.3626.121, webStorageEnabled: true}
Session ID: f4ef984449db7bf1da46b3effc596796
2019-03-15 14:45:10,758 | com.altius.automation.Auctionedit |ERROR | Mouse is successfully  not clicked on transfer approval screen
2019-03-15 14:45:12,931 | com.altius.automation.Auctionedit |ERROR | Chit group is not successfully selected
2019-03-15 14:45:13,056 | com.altius.automation.Auctionedit |ERROR | load members is not clicked
2019-03-15 14:45:13,275 | com.altius.automation.Auctionedit |ERROR | Approve button is not clicked
2019-03-15 14:45:13,415 | com.altius.automation.Auctionedit |ERROR | Yes button is not clicked
2019-03-15 14:47:09,181 | com.altius.automation.Auctionedit |INFO | Central office option is selected successfully
2019-03-15 14:47:10,271 | com.altius.automation.Auctionedit |INFO | Valid UN is passed to the UN field
2019-03-15 14:47:10,723 | com.altius.automation.Auctionedit |INFO | Valid password data is passed to the PW field
2019-03-15 14:47:34,131 | com.altius.automation.Auctionedit |INFO | User able to login with Correct UN  &PW
2019-03-15 14:47:34,741 | com.altius.automation.Auctionedit |INFO | Mouse is successfully hovered on module 'Group and confidential report'
2019-03-15 14:47:36,949 | com.altius.automation.Auctionedit |INFO | Mouse is successfully hovered on for transfer screen
2019-03-15 14:47:48,027 | com.altius.automation.Auctionedit |INFO | Mouse is successfully clicked on transfer approval screen
2019-03-15 14:47:50,149 | com.altius.automation.Auctionedit |ERROR | Chit group is not successfully selected
2019-03-15 14:47:54,397 | com.altius.automation.Auctionedit |INFO | load members is clicked successfully
2019-03-15 14:47:54,411 | com.altius.automation.Auctionedit |ERROR | Approve button is not clicked
2019-03-15 14:47:54,423 | com.altius.automation.Auctionedit |ERROR | Yes button is not clicked
2019-03-15 14:48:56,415 | com.altius.automation.Auctionedit |INFO | Central office option is selected successfully
2019-03-15 14:48:57,406 | com.altius.automation.Auctionedit |INFO | Valid UN is passed to the UN field
2019-03-15 14:48:57,791 | com.altius.automation.Auctionedit |INFO | Valid password data is passed to the PW field
2019-03-15 14:49:17,618 | com.altius.automation.Auctionedit |INFO | User able to login with Correct UN  &PW
2019-03-15 14:49:17,880 | com.altius.automation.Auctionedit |INFO | Mouse is successfully hovered on module 'Group and confidential report'
2019-03-15 14:49:20,119 | com.altius.automation.Auctionedit |INFO | Mouse is successfully hovered on for transfer screen
2019-03-15 14:49:27,020 | com.altius.automation.Auctionedit |INFO | Mouse is successfully clicked on transfer approval screen
2019-03-15 14:49:33,229 | com.altius.automation.Auctionedit |INFO | Chit group is successfully selected
2019-03-15 14:49:38,852 | com.altius.automation.Auctionedit |INFO | load members is clicked successfully
2019-03-15 14:49:45,488 | com.altius.automation.Auctionedit |INFO | Approve button is clicked sucessfully
2019-03-15 14:49:45,588 | com.altius.automation.Auctionedit |ERROR | Yes button is not clicked
2019-03-15 14:49:45,729 | com.altius.automation.Auctionedit |ERROR | New group is not approved
2019-03-15 14:51:05,584 | com.altius.automation.Auctionedit |INFO | Central office option is selected successfully
2019-03-15 14:51:09,693 | com.altius.automation.Auctionedit |INFO | Valid UN is passed to the UN field
2019-03-15 14:51:11,435 | com.altius.automation.Auctionedit |INFO | Valid password data is passed to the PW field
2019-03-15 14:51:30,858 | com.altius.automation.Auctionedit |INFO | User able to login with Correct UN  &PW
2019-03-15 14:51:31,140 | com.altius.automation.Auctionedit |INFO | Mouse is successfully hovered on module 'Group and confidential report'
2019-03-15 14:51:33,317 | com.altius.automation.Auctionedit |INFO | Mouse is successfully hovered on for transfer screen
2019-03-15 14:51:40,525 | com.altius.automation.Auctionedit |INFO | Mouse is successfully clicked on transfer approval screen
2019-03-15 14:51:46,370 | com.altius.automation.Auctionedit |INFO | Chit group is successfully selected
2019-03-15 14:51:50,956 | com.altius.automation.Auctionedit |INFO | load members is clicked successfully
2019-03-15 14:51:55,406 | com.altius.automation.Auctionedit |INFO | Approve button is clicked sucessfully
2019-03-15 14:52:00,031 | com.altius.automation.Auctionedit |INFO | Yes button is clicked sucessfully
